COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,QR_PRO,SEL,SEL_IHE,UNIV_PROG
SB11201220410699,F,Incomplete primary ,Complete Secundary,Other occupation,Operator,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,64,98,1,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220411156,F,Complete technique or technology,Complete technique or technology,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,57,8,4,3,UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN_INDUSTRIAL ENGINEERING
SB11201220411691,M,Not sure,Not sure,Retired,Home,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL,86,100,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN_CHEMICAL ENGINEERING
SB11201220412177,F,Incomplete Secundary,Complete Secundary,Independent,Home,Stratum 3,Level 3,Eight,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PUBLIC,ACADEMIC,56,86,1,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_ELECTRONIC ENGINEERING
SB11201220412216,M,0,0,0,Home,Stratum 3,It is not classified by the SISBEN,Four,No,No,No,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,No,PUBLIC,ACADEMIC,59,96,3,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220412272,M,Complete technique or technology,Complete Secundary,Technical or professional level employee,Independent,Stratum 3,It is not classified by the SISBEN,Four,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,67,93,2,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_MECHANICAL ENGINEERING
SB11201220412724,F,0,0,0,Home,Stratum 2,Level 2,Four,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,No,PUBLIC,ACADEMIC,56,80,2,2,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA_INDUSTRIAL ENGINEERING
SB11201220412740,M,Incomplete primary ,Incomplete primary ,Independent,Home,Stratum 1,Level 1,Five,No,No,No,Yes,No,No,Yes,Yes,Yes,No,less than 1 LMMW,No,PUBLIC,ACADEMIC,59,68,1,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220413011,M,Complete professional education,Complete technique or technology,Auxiliary or Administrative,Independent,Stratum 4,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,66,100,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220413220,F,Incomplete Secundary,Complete Secundary,Independent,Home,Stratum 3,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL/ACADEMIC,52,58,1,2,UNIVERSIDAD CATOLICA DE COLOMBIA-BOGOTÁ D.C._INDUSTRIAL ENGINEERING
SB11201220413302,F,Complete primary ,Complete primary ,Operator,Home,Stratum 2,Level 2,Five,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,PUBLIC,TECHNICAL,52,40,1,2,UNIVERSIDAD DE IBAGUE-IBAGUE_CIVIL ENGINEERING
SB11201220414416,M,Complete Secundary,Complete professional education,Operator,Technical or professional level employee,Stratum 3,Level 3,Four,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,53,100,2,2,UNIVERSIDAD DE ANTIOQUIA-MEDELLIN_MECHANICAL ENGINEERING
SB11201220415316,M,Complete Secundary,Complete Secundary,Technical or professional level employee,Home,Stratum 2,Level 3,Four,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PUBLIC,ACADEMIC,66,82,4,2,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA_MECHANICAL ENGINEERING
SB11201220415440,F,Complete Secundary,Complete technique or technology,Independent,Home,Stratum 3,Level 2,Three,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,less than 1 LMMW,No,PUBLIC,TECHNICAL,66,95,1,2,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA_MECHANICAL ENGINEERING
SB11201220415461,M,Complete primary ,Complete primary ,Independent,Independent,Stratum 2,Level 2,Six,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,"Yes, 20 hours or more per week",PUBLIC,TECHNICAL/ACADEMIC,47,92,3,2,UNIVERSIDAD DE ANTIOQUIA-MEDELLIN_ELECTRIC ENGINEERING
SB11201220416099,F,Complete Secundary,Complete Secundary,Operator,Home,Stratum 2,Level 2,Four,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,less than 1 LMMW,No,PUBLIC,ACADEMIC,57,90,1,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220416524,M,Complete primary ,Complete primary ,Independent,Home,Stratum 2,Level 2,Six,No,Yes,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,"Yes, less than 20 hours per week",PUBLIC,TECHNICAL,65,87,1,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
